uri,Artist,Track,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
spotify:track:5haXbSJqjjM0TCJ5XkfEaC,James Brown,I Got You (I Feel Good),68,0.613,0.487,7,-8.781,1,0.0935,0.412,1.02e-05,0.286,0.699,143.332,audio_features,5haXbSJqjjM0TCJ5XkfEaC,https://api.spotify.com/v1/tracks/5haXbSJqjjM0TCJ5XkfEaC,https://api.spotify.com/v1/audio-analysis/5haXbSJqjjM0TCJ5XkfEaC,165800,4
spotify:track:7bFfjakySYhojqSPrAPtc3,James Brown,Try Me,54,0.676,0.224,0,-15.193,1,0.0293,0.931,0.0,0.302,0.665,101.47,audio_features,7bFfjakySYhojqSPrAPtc3,https://api.spotify.com/v1/tracks/7bFfjakySYhojqSPrAPtc3,https://api.spotify.com/v1/audio-analysis/7bFfjakySYhojqSPrAPtc3,153707,3
spotify:track:5XeSAezNDk9tuw3viiCbZ3,James Brown,Get Up Offa That Thing,57,0.864,0.813,2,-6.909,1,0.361,0.217,0.0,0.874,0.72,118.006,audio_features,5XeSAezNDk9tuw3viiCbZ3,https://api.spotify.com/v1/tracks/5XeSAezNDk9tuw3viiCbZ3,https://api.spotify.com/v1/audio-analysis/5XeSAezNDk9tuw3viiCbZ3,239733,4
spotify:track:00pGV4EInVd77cnOIwPTCv,James Brown,Papa's Got A Brand New Bag,51,0.738,0.541,4,-9.508,1,0.09,0.292,1.15e-05,0.0861,0.925,127.942,audio_features,00pGV4EInVd77cnOIwPTCv,https://api.spotify.com/v1/tracks/00pGV4EInVd77cnOIwPTCv,https://api.spotify.com/v1/audio-analysis/00pGV4EInVd77cnOIwPTCv,128173,4
spotify:track:5OcyX5eg7VrJuI833qOCUc,James Brown,The Payback,54,0.868,0.644,6,-10.987,1,0.194,0.159,0.00018,0.901,0.785,97.933,audio_features,5OcyX5eg7VrJuI833qOCUc,https://api.spotify.com/v1/tracks/5OcyX5eg7VrJuI833qOCUc,https://api.spotify.com/v1/audio-analysis/5OcyX5eg7VrJuI833qOCUc,459893,4
spotify:track:6LzjgzpVl0hB3YrBU1b8Z1,James Brown,The Boss,58,0.736,0.354,1,-14.709,1,0.0475,0.579,0.0103,0.0757,0.62,97.924,audio_features,6LzjgzpVl0hB3YrBU1b8Z1,https://api.spotify.com/v1/tracks/6LzjgzpVl0hB3YrBU1b8Z1,https://api.spotify.com/v1/audio-analysis/6LzjgzpVl0hB3YrBU1b8Z1,194867,4
spotify:track:3SQ9Hb9rfpJ02AWfaOPhpy,James Brown,"It's A Man's, Man's, Man's World",60,0.539,0.24,3,-16.632,0,0.0426,0.687,5.12e-05,0.133,0.567,80.816,audio_features,3SQ9Hb9rfpJ02AWfaOPhpy,https://api.spotify.com/v1/tracks/3SQ9Hb9rfpJ02AWfaOPhpy,https://api.spotify.com/v1/audio-analysis/3SQ9Hb9rfpJ02AWfaOPhpy,167373,3
spotify:track:5U3i59kbTLrxo46TU1FRnF,James Brown,People Get Up And Drive Your Funky Soul - Remix,57,0.8,0.802,0,-5.439,1,0.166,0.23,0.00379,0.0971,0.82,97.586,audio_features,5U3i59kbTLrxo46TU1FRnF,https://api.spotify.com/v1/tracks/5U3i59kbTLrxo46TU1FRnF,https://api.spotify.com/v1/audio-analysis/5U3i59kbTLrxo46TU1FRnF,544640,4
spotify:track:2ivdsb1RcEJjIs5tuHkUC9,James Brown,Get Up (I Feel Like Being A) Sex Machine,45,0.838,0.616,10,-8.351,0,0.0711,0.18,7.17e-06,0.193,0.848,107.695,audio_features,2ivdsb1RcEJjIs5tuHkUC9,https://api.spotify.com/v1/tracks/2ivdsb1RcEJjIs5tuHkUC9,https://api.spotify.com/v1/audio-analysis/2ivdsb1RcEJjIs5tuHkUC9,316333,4
spotify:track:4Y5yjzs9FFw5qIgfZBd43I,James Brown,"Living in America - From ""Rocky IV"" Soundtrack",52,0.754,0.854,0,-7.114,1,0.0363,0.00148,0.00692,0.0675,0.761,113.908,audio_features,4Y5yjzs9FFw5qIgfZBd43I,https://api.spotify.com/v1/tracks/4Y5yjzs9FFw5qIgfZBd43I,https://api.spotify.com/v1/audio-analysis/4Y5yjzs9FFw5qIgfZBd43I,282840,4
spotify:track:76p5d8BcoUNIibKjCqOAOg,James Brown,It's A Man's World,44,0.729,0.28,2,-13.452,0,0.0366,0.322,0.000202,0.0783,0.25,102.869,audio_features,76p5d8BcoUNIibKjCqOAOg,https://api.spotify.com/v1/tracks/76p5d8BcoUNIibKjCqOAOg,https://api.spotify.com/v1/audio-analysis/76p5d8BcoUNIibKjCqOAOg,197933,3
spotify:track:3whRKAOlJ0M3banzcChvQv,James Brown,Get Up Offa That Thing,50,0.883,0.631,2,-11.473,1,0.42,0.339,5.19e-06,0.942,0.782,118.084,audio_features,3whRKAOlJ0M3banzcChvQv,https://api.spotify.com/v1/tracks/3whRKAOlJ0M3banzcChvQv,https://api.spotify.com/v1/audio-analysis/3whRKAOlJ0M3banzcChvQv,250387,4
